"AnchorUrl","ApplicationPermissions","OperationPermissions","ResourceType","OriginalName","PrefixedName","LastUpdated"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsUpdateForBusinessFeatureUpdateProfileWindows10-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","windowsUpdateForBusinessFeatureUpdateProfileWindows10","microsoft.intune.windowsUpdateForBusinessFeatureUpdateProfileWindows10","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsupdateforbusinessfeatureupdateprofilewindows10-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","windowsupdateforbusinessfeatureupdateprofilewindows10","microsoft.intune.windowsupdateforbusinessfeatureupdateprofilewindows10","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsupdateforbusinessringupdateprofilewindows10-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","windowsupdateforbusinessringupdateprofilewindows10","microsoft.intune.windowsupdateforbusinessringupdateprofilewindows10","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsUpdateForBusinessRingUpdateProfileWindows10-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","windowsUpdateForBusinessRingUpdateProfileWindows10","microsoft.intune.windowsUpdateForBusinessRingUpdateProfileWindows10","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#accepteddomain-resource-type","","","exchange","accepteddomain","microsoft.exchange.accepteddomain","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#acceptedDomain-resource-type","","","exchange","acceptedDomain","microsoft.exchange.acceptedDomain","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#activesyncdeviceaccessrule-resource-type","","","exchange","activesyncdeviceaccessrule","microsoft.exchange.activesyncdeviceaccessrule","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#activeSyncDeviceAccessRule-resource-type","","","exchange","activeSyncDeviceAccessRule","microsoft.exchange.activeSyncDeviceAccessRule","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#antiPhishPolicy-resource-type","","","exchange","antiPhishPolicy","microsoft.exchange.antiPhishPolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#antiphishpolicy-resource-type","","","exchange","antiphishpolicy","microsoft.exchange.antiphishpolicy","2026-02-06T10:47:34Z"
